,Site9
0,1434.611111111111
1,1407.5
2,1999.0
3,2518.8333333333335
4,2371.277777777778
5,2454.6944444444443
6,2753.6111111111113
7,2984.3611111111113
8,3668.0555555555557
9,686.8333333333334
10,2321.6111111111113
11,992.3888888888889
12,957.7777777777778
13,1809.7777777777778
14,1138.8055555555557
15,1673.8333333333333
16,1626.5833333333333
17,885.3611111111111
18,961.0277777777778
19,1138.9444444444443
20,1096.5833333333333
21,1196.888888888889
22,1458.1666666666667
23,1304.0833333333333
24,2305.6944444444443
25,2981.9444444444443
26,2920.6944444444443
27,1938.0277777777778
28,1944.611111111111
29,2237.777777777778
30,1632.7222222222222
31,2113.8888888888887
32,1113.4722222222222
33,1518.5555555555557
34,803.3055555555555
35,1190.7777777777778
36,1478.9722222222222
37,1536.2222222222222
38,1405.111111111111
39,1224.388888888889
40,1135.5277777777778
41,1497.7777777777778
42,1410.4444444444443
43,1028.5833333333333
44,2698.1111111111113
45,1778.2777777777778
46,2807.222222222222
47,2429.0
48,2531.3055555555557
49,2137.0555555555557
50,2144.277777777778
51,1019.2777777777778
52,588.1111111111111
53,888.1666666666666
54,1064.1944444444443
55,974.5833333333334
56,859.3611111111111
57,1009.2222222222222
58,1136.138888888889
59,1104.3055555555557
60,1221.2777777777778
61,929.2222222222222
62,1347.611111111111
63,1407.9722222222222
64,2676.1944444444443
65,2443.0555555555557
66,2756.1388888888887
67,3104.5555555555557
68,2241.222222222222
69,1934.5555555555557
70,1850.388888888889
71,654.3611111111111
72,894.1388888888889
73,829.1944444444445
74,1439.9444444444443
75,900.6111111111111
76,1965.9166666666667
77,986.4166666666666
78,1361.7777777777778
79,1195.0
80,1066.5
81,1503.9722222222222
82,1462.0277777777778
83,1421.361111111111
84,1737.5
85,1646.5277777777778
86,1897.8055555555557
87,1621.611111111111
88,3404.277777777778
89,3290.777777777778
90,2580.3055555555557
91,1471.6666666666667
92,842.4166666666666
93,1056.8055555555557
94,1897.0555555555557
95,2178.5833333333335
96,1301.75
97,1808.8333333333333
98,1426.4722222222222
99,1180.75
100,1188.861111111111
101,923.4444444444445
102,1522.0
103,1230.4722222222222
104,1367.2222222222222
105,1943.1666666666667
106,2856.6944444444443
107,2749.4166666666665
108,4065.6111111111113
109,3034.1388888888887
110,3101.0
111,2786.0833333333335
112,829.9444444444445
113,415.55555555555554
114,744.3333333333334
115,976.4444444444445
116,1450.8055555555557
117,1639.388888888889
118,1688.25
119,815.0555555555555
120,841.25
121,1460.0833333333333
122,1521.0
123,1403.3333333333333
124,1592.861111111111
125,2256.3055555555557
126,2750.1111111111113
127,2078.6111111111113
128,1693.75
129,2603.972222222222
130,4138.583333333333
131,1096.8333333333333
132,1635.611111111111
133,867.3055555555555
134,1050.111111111111
135,1049.1944444444443
136,1147.3333333333333
137,1292.8055555555557
138,1442.3055555555557
139,1369.75
140,963.9444444444445
141,1035.0833333333333
142,990.9166666666666
143,688.0833333333334
144,1897.111111111111
145,2223.472222222222
146,2182.1944444444443
147,2522.6111111111113
148,2602.972222222222
149,1935.6944444444443
150,2481.8611111111113
151,2627.6111111111113
152,1572.4166666666667
153,2152.3888888888887
154,2212.6944444444443
155,586.5833333333334
156,1737.4722222222222
157,2371.25
158,1221.4444444444443
159,1309.5277777777778
160,1051.5
161,1019.6388888888889
162,1226.111111111111
163,1162.7777777777778
164,1458.0833333333333
165,1503.3055555555557
166,2390.5
167,1820.1944444444443
168,2717.6666666666665
169,2421.4444444444443
170,4399.666666666667
171,2035.8055555555557
172,1305.3055555555557
173,1356.388888888889
174,1544.5833333333333
175,1722.8333333333333
176,1098.9166666666667
177,1826.0
178,1020.3055555555555
179,1694.3333333333333
180,1176.5833333333333
181,1008.5277777777778
182,1096.9166666666667
183,893.3611111111111
184,1275.361111111111
185,1733.8333333333333
186,2150.3055555555557
187,2413.9444444444443
188,2292.75
189,2792.3333333333335
190,952.8888888888889
191,3973.3055555555557
192,1393.9166666666667
193,1588.8333333333333
194,1859.8333333333333
195,1492.25
196,1685.8055555555557
197,1193.5277777777778
198,1507.861111111111
199,1508.4166666666667
200,1127.861111111111
201,783.0555555555555
202,975.4444444444445
203,1490.1944444444443
204,1376.6944444444443
205,1589.888888888889
206,2067.6944444444443
207,2267.1666666666665
208,2397.8611111111113
209,2192.9166666666665
210,3033.1944444444443
211,3623.5555555555557
212,2928.6388888888887
213,1087.0555555555557
214,1313.388888888889
215,1188.4444444444443
216,1916.8333333333333
217,2152.9444444444443
218,1361.2777777777778
219,1608.388888888889
220,1402.8333333333333
221,1190.6666666666667
222,1038.9722222222222
223,1135.0555555555557
224,1298.2222222222222
225,1652.8055555555557
226,2192.0
227,3070.472222222222
228,2767.1666666666665
229,2260.0833333333335
230,3112.472222222222
231,3546.8611111111113
232,3286.4444444444443
233,2292.4444444444443
234,2110.5
235,1059.5555555555557
236,1056.6666666666667
237,1908.0
238,2182.0
239,1471.4722222222222
240,1427.9722222222222
241,1073.5833333333333
242,798.4444444444445
243,1142.4166666666667
244,1626.5
245,1663.8333333333333
246,2066.3611111111113
247,2890.277777777778
248,3039.1111111111113
249,3102.5
250,1375.5833333333333
251,3894.1666666666665
252,2883.9444444444443
253,2587.6388888888887
254,2117.3611111111113
255,762.6944444444445
256,798.9722222222222
257,1030.25
258,431.52777777777777
259,1952.4722222222222
260,1966.75
261,1427.4722222222222
262,1232.111111111111
263,1001.8611111111111
264,1525.9444444444443
265,1641.0
266,2115.3055555555557
267,2201.472222222222
268,2525.25
269,2340.472222222222
270,1266.6666666666667
271,3677.472222222222
272,1603.0555555555557
273,2371.8888888888887
274,714.3333333333334
275,1579.361111111111
276,2129.1388888888887
277,1832.138888888889
278,2505.25
279,1079.0277777777778
280,1651.7222222222222
281,1057.5277777777778
282,878.25
283,1310.9722222222222
284,1231.4722222222222
285,1121.4166666666667
286,1840.2777777777778
287,2006.6944444444443
288,1776.1666666666667
289,1837.1666666666667
290,2359.972222222222
291,1824.7222222222222
292,1638.5277777777778
293,2747.027777777778
294,926.7222222222222
295,1442.7777777777778
296,1079.1666666666667
297,688.2777777777778
298,1525.5833333333333
299,992.75
300,1986.138888888889
301,1016.2222222222222
302,1240.9722222222222
303,1023.7222222222222
304,897.2777777777778
305,1232.138888888889
306,1648.611111111111
307,898.6111111111111
308,2230.3055555555557
309,2163.0
310,1508.6666666666667
311,3024.0555555555557
312,2413.1111111111113
313,567.3333333333334
314,1450.4722222222222
315,1106.361111111111
316,1240.138888888889
317,1729.888888888889
318,1109.25
319,1383.9722222222222
320,1584.2222222222222
321,1497.388888888889
322,864.4444444444445
323,1283.888888888889
324,808.0277777777778
325,1479.8333333333333
326,1399.4722222222222
327,1839.9444444444443
328,2798.9444444444443
329,1501.8055555555557
330,2263.6111111111113
331,2049.1388888888887
332,2848.5555555555557
333,2097.777777777778
334,1738.5833333333333
335,1907.0277777777778
336,988.0
337,711.0277777777778
338,1244.0833333333333
339,1797.2222222222222
340,2051.3888888888887
341,1315.2777777777778
342,1353.5277777777778
343,1138.9444444444443
344,569.4444444444445
345,1074.0
346,1717.5277777777778
347,1885.9444444444443
348,2926.3055555555557
349,2587.1111111111113
350,2743.722222222222
351,2500.5833333333335
352,1732.4166666666667
353,3473.6944444444443
354,1011.5555555555555
355,597.4722222222222
356,569.6388888888889
357,1141.888888888889
358,1285.9166666666667
359,1605.0277777777778
360,1297.1944444444443
361,1144.3055555555557
362,1375.5555555555557
363,684.0833333333334
364,1019.5
